"X","tempo","sesso","anno","zodiaco","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","cifre","ONUcifre","ONU","giorno","A1","A2","A3","A4","B1","B2","B3","B4","C1","C2","C3","C4","D1","D2","D3","D4","gruppo","auto","gandhi","gruppo1","gruppo2","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","corrette","anchor_gandhi","anchor_auto"
23,"2019/02/05 8:21:20 AM CET","Maschio",2000,"Pesci","40%","C","Raddoppiata","70 anni","3 miliardi","tutte e tre","E' rimasto più o meno lo stesso","B","80 per cento","50%",95,"No",43,12,NA,NA,NA,NA,"Meno di 100 000 euro",70000,"Più di 35 anni",79,NA,NA,NA,NA,NA,NA,NA,NA,"B",70000,79,"Gandhi35","auto 100.000",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,"Gandhi35","auto 100.000"
24,"2019/02/05 8:21:21 AM CET","Maschio",2000,"Capricorno","20%","C","Rimasta la stessa","60 anni","4 miliardi","tutte e tre","E' rimasto più o meno lo stesso","C","20 per cento","80%",2,"Si",40,16,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",80000,"Meno di 114 anni",81,NA,NA,NA,NA,"C",80000,81,"Gandhi114","auto 20.000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,"Gandhi114","auto 20.000"
25,"2019/02/05 8:21:24 AM CET","Maschio",2000,"Vergine","40%","C","Rimasta la stessa","70 anni","3 miliardi","tutte e tre","Ridotto a meno della metà","B","20 per cento","50%",6,"Si",10,3,"Meno di 100 000 euro",40000,"Meno di 114 anni",78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",40000,78,"Gandhi114","auto 100.000",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,"Gandhi114","auto 100.000"
26,"2019/02/05 8:21:35 AM CET","Maschio",2000,"Toro","40%","A","Raddoppiata","70 anni","4 miliardi","tutte e tre","Più che raddoppiato","B","20 per cento","50%",65,"No",35,7,"Meno di 100 000 euro",80000,"Meno di 114 anni",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",80000,100,"Gandhi114","auto 100.000",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,"Gandhi114","auto 100.000"
27,"2019/02/05 8:22:06 AM CET","Maschio",2000,"Pesci","20%","B","Rimasta la stessa","60 anni","3 miliardi","tutte e tre","Ridotto a meno della metà","B","50 per cento","50%",30,"Si",10,15,NA,NA,NA,NA,"Meno di 100 000 euro",40000,"Più di 35 anni",70,NA,NA,NA,NA,NA,NA,NA,NA,"B",40000,70,"Gandhi35","auto 100.000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,"Gandhi35","auto 100.000"
28,"2019/02/05 8:22:10 AM CET","Maschio",2000,"Leone","20%","A","Rimasta la stessa","60 anni","3 miliardi","tutte e tre","Più che raddoppiato","B","20 per cento","50%",81,"No",42,8,NA,NA,NA,NA,"Meno di 100 000 euro",35000,"Più di 35 anni",77,NA,NA,NA,NA,NA,NA,NA,NA,"B",35000,77,"Gandhi35","auto 100.000",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"Gandhi35","auto 100.000"
29,"2019/02/05 8:22:19 AM CET","Maschio",2000,"Toro","40%","C","Rimasta la stessa","70 anni","3 miliardi","tutte e tre","Ridotto a meno della metà","B","20 per cento","80%",18,"No",10,5,"Meno di 100 000 euro",50000,"Meno di 114 anni",78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",50000,78,"Gandhi114","auto 100.000",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,3,"Gandhi114","auto 100.000"
30,"2019/02/05 8:23:13 AM CET","Maschio",2000,"Scorpione","20%","B","Raddoppiata","60 anni","3 miliardi","tutte e tre","Più che raddoppiato","C","50 per cento","80%",6,"Si",7,16,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",30000,"Meno di 114 anni",97,NA,NA,NA,NA,"C",30000,97,"Gandhi114","auto 20.000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,"Gandhi114","auto 20.000"
31,"2019/02/05 8:28:46 AM CET","Maschio",2000,"Sagittario","20%","C","Raddoppiata","60 anni","4 miliardi","una","Più che raddoppiato","C","50 per cento","80%",28,"Si",41,14,NA,NA,NA,NA,"Meno di 100 000 euro",21000,"Più di 35 anni",70,NA,NA,NA,NA,NA,NA,NA,NA,"B",21000,70,"Gandhi35","auto 100.000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,"Gandhi35","auto 100.000"
32,"2019/02/05 9:17:55 AM CET","Femmina",2000,"Acquario","20%","C","Raddoppiata","70 anni","4 miliardi","tutte e tre","Più che raddoppiato","C","50 per cento","20%",51,"No",17,22,NA,NA,NA,NA,NA,NA,NA,NA,"Meno di 20 000 euro",NA,"Meno di 114 anni",90,NA,NA,NA,NA,"C",NA,90,"Gandhi114","auto 20.000",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"Gandhi114","auto 20.000"
