"","tempo","sesso","anno","zodiaco","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","cifre","ONUcifre","ONU","giorno","A1","A2","A3","A4","B1","B2","B3","B4","C1","C2","C3","C4","D1","D2","D3","D4","gruppo","auto","gandhi","gruppo1","gruppo2","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","corrette","anchor_gandhi","anchor_auto"
"161","2020/01/27 6:21:26 PM CET","Maschio","2003","Pesci","C","80%","70 anni","5 anni","50%","A","Raddoppiata",3.5,"Più che raddoppiato","50%",1,"No",0,20,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",40000,"Meno di 114 anni",102,NA,NA,NA,NA,"C",40000,102,"Gandhi114","auto 20.000",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,"Gandhi114","auto 20.000"
"162","2020/01/27 6:21:50 PM CET","Maschio","2000","Vergine","C","60%","60 anni","7 anni","20%","C","Rimasta la stessa",2.5,"E' rimasto più o meno lo stesso","50%",81,"No",60,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",25000,"Più di 35 anni",40,"D",25000,40,"Gandhi35","auto 20.000",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,"Gandhi35","auto 20.000"
"163","2020/01/27 6:24:47 PM CET","Maschio","2003","Gemelli","C","80%","70 anni","7 anni","80%","B","Dimezzata",2.5,"Ridotto a meno della metà","80%",39,"No",25,1,"Meno di 100 000 euro",NA,"Meno di 114 anni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,"A",NA,79,"Gandhi114","auto 100.000",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9,"Gandhi114","auto 100.000"
"164","2020/01/27 6:24:57 PM CET","Femmina","2003","Ariete","B","80%","70 anni","7 anni","80%","B","Raddoppiata",2.5,"E' rimasto più o meno lo stesso","80%",93,"No",13,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Meno di 20 000 euro",NA,"Più di 35 anni",60,"D",NA,60,"Gandhi35","auto 20.000",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,7,"Gandhi35","auto 20.000"
"165","2020/01/27 6:25:37 PM CET","Femmina","2003","Gemelli","A","80%","70 anni","7 anni","80%","B","Dimezzata",2.5,"Ridotto a meno della metà","80%",94,"No",85,4,"Meno di 100 000 euro",50000,"Meno di 114 anni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,"A",50000,79,"Gandhi114","auto 100.000",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,"Gandhi114","auto 100.000"
"166","2020/01/27 6:27:24 PM CET","Maschio","2002","Capricorno","B","60%","60 anni","5 anni","80%","C","Raddoppiata",2.5,"Più che raddoppiato","80%",57,"No",49,14,NA,NA,NA,NA,"Meno di 100 000 euro",30000,"Più di 35 anni",78,NA,NA,NA,NA,NA,NA,NA,NA,"B",30000,78,"Gandhi35","auto 100.000",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,3,"Gandhi35","auto 100.000"
"167","2020/01/27 6:27:59 PM CET","Femmina","2003","Gemelli","C","80%","60 anni","7 anni","50%","B","Rimasta la stessa",2.5,"E' rimasto più o meno lo stesso","80%",13,"No",7,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",35000,"Più di 35 anni",80,"D",35000,80,"Gandhi35","auto 20.000",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,5,"Gandhi35","auto 20.000"
"168","2020/01/27 6:29:21 PM CET","Maschio","2003","Scorpione","B","80%","70 anni","7 anni","50%","A","Rimasta la stessa",2.5,"E' rimasto più o meno lo stesso","80%",60,"No",34,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Meno di 20 000 euro",175,"Più di 35 anni",69,"D",NA,69,"Gandhi35","auto 20.000",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,5,"Gandhi35","auto 20.000"
"169","2020/01/27 6:30:16 PM CET","Femmina","2003","Cancro","B","60%","60 anni","5 anni","20%","A","Raddoppiata",2.5,"E' rimasto più o meno lo stesso","50%",92,"No",15,22,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",25,"Meno di 114 anni",78,NA,NA,NA,NA,"C",NA,78,"Gandhi114","auto 20.000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,"Gandhi114","auto 20.000"
"170","2020/01/27 6:31:16 PM CET","Maschio","2003","Ariete","C","60%","70 anni","5 anni","20%","C","Rimasta la stessa",4.5,"Ridotto a meno della metà","50%",7,"No",69,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",20000,"Meno di 35 anni",34,"D",20000,34,"Gandhi35","auto 20.000",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,"Gandhi35","auto 20.000"
